district_name,date,dem_percent,rep_percent,sample_size,registered_voter,pollster_lean,pollster_grade,pollster_name
NC-07,8/22/2018,0.44,0.4,500,Likely,-0.038,D,Lincoln Park Strategies
NC-09,10/3/2018,0.42,0.46,448,Likely,-0.001,A,Siena College
OH-12,9/6/2018,0.46,0.47,500,Likely,-0.01,B,GBA Strategies
KY-06,9/7/2018,0.47,0.47,600,Likely,0.0012,C,Rasmussen Reports/Pulse Opinion Research
AR-04,9/7/2018,0.24,0.54,423,Likely,0.011,B,Hendrix College
NY-22,8/26/2018,0.46,0.44,499,Likely,-0.001,A,Sienna College
NY-01,9/17/2018,0.44,0.47,400,Likely,-0.022,C,Global Strategy Group
AK-01,6/12/2018,0.36,0.4,540,Likely,-0.038,D,Lake Research Partners
MN-01,8/26/2018,0.33,0.47,400,Likely,0.041,B,Harper Polling
KY-06,2/7/2018,0.44,0.48,401,Likely,-0.041,B,Garin-Hart-Yang Research Group
NJ-03,2/15/2018,0.43,0.47,336,Voters,-0.021,B,Public Policy Polling
WA-05,9/16/2018,0.46,0.49,521,Likely,-0.057,D,"Fairbank, Maslin, Maulin, Metz & Associates"
KY-06,9/8/2018,0.46,0.47,506,Likely,0.0001,A,Siena College
WI-01,9/13/2018,0.44,0.5,500,Likely,-0.001,A,Siena College
ID-01,7/9/2018,0.27,0.35,315,Adults,-0.002,C,Dan Jones & Associates
KY-06,5/2/2018,0.52,0.37,508,Likely,-0.035,C,DCCC Targeting Team
AR-03,9/7/2018,0.31,0.53,428,Likely,0.011,B,Hendrix College
NY-19,9/6/2018,0.49,0.44,327,Likely,-0.014,A,Monmouth University
NJ-03,4/17/2018,0.41,0.42,669,Voters,-0.021,B,Public Policy Polling
WA-05,4/17/2018,0.45,0.48,689,Voters,-0.021,D,Public Policy Polling
KY-06,6/7/2018,0.51,0.38,400,Likely,0.015,B,"Fabrizio, Lee & Associates"
KY-06,9/6/2018,0.45,0.49,400,Likely,0.015,B,"Fabrizio, Lee & Associates"
UT-01,8/31/2018,0.22,0.59,201,Adults,-0.002,C,Dan Jones & Associates
AR-02,9/7/2018,0.41,0.5,428,Likely,0.011,B,Hendrix College
NY-22,4/27/2018,0.55,0.45,358,Likely,-0.004,C,Zogby Interactive/JZ Analytics
PA-01,10/1/2018,0.46,0.5,353,Likely,0.014,A,Monmouth University
ID-02,7/9/2018,0.23,0.59,285,Adults,-0.002,C,Dan Jones & Associates
NY-19,8/26/2018,0.4,0.45,501,Likely,-0.001,A,Siena College
NM-03,6/16/2018,0.58,0.3,446,Likely,0.025,D,Carroll Strategies
ME-02,9/14/2018,0.42,0.47,506,Likely,-0.1,A,Siena College
MN-02,10/2/2018,0.51,0.39,487,Likely,-0.001,A,Siena Collge
WA-05,4/7/2018,0.38,0.44,403,Registered,-0.002,D,Elway Research
GA-06,8/26/2018,0.47,0.49,600,Likely,-0.038,D,Thirty-Ninth Street Strategies
KY-06,7/10/2018,0.5,0.43,461,Likely,-0.041,B,Garin-Hart-Yang Research Group
NJ-03,6/3/2018,0.44,0.48,550,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps) 
AR-02,4/17/2018,0.42,0.47,610,Voters,-0.021,B,Public Policy Polling
MN-02,10/1/2018,0.43,0.46,412,Likely,0.064,B,Wilson Perkins Allen Opinion Research
PA-01,6/3/2018,0.48,0.48,254,Likely,0.014,A,Monmouth University
UT-01,8/27/2018,0.16,0.51,600,Registered,-0.006,D,Lighthouse Research
NJ-03,6/21/2018,0.42,0.42,400,Likely,-0.022,C,Global Strategy Group
AR-01,9/7/2018,0.22,0.57,422,Likely,0.011,B,Hendrix College
MN-02,9/23/2018,0.48,0.45,569,Likely,0.003,A,SurveyUSA
WA-05,2/3/2018,0.43,0.47,414,Likely,-0.035,D,DCCC Targeting Team D
NC-02,8/28/2018,0.45,0.44,401,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
NY-19,7/12/2018,0.44,0.49,400,Registered,0.017,C,IMGE Insights
NY-22,3/12/2018,0.5,0.44,500,Likely,-0.017,D,Greenberg Quinlan Rosner (Democracy Corps)
ME-02,9/7/2018,0.54,0.46,400,Registered,-0.042,B,Mellman Group
MN-02,9/18/2018,0.48,0.45,531,Voters,0.021,B,Public Policy Polling
MI-06,9/5/2018,0.41,0.45,750,Voters,-0.021,B,Public Policy Polling
NJ-03,8/9/2018,0.46,0.44,300,Likely,-0.014,A,Monmouth University
NM-02,9/18/2018,0.46,0.45,503,Likely,-0.001,A,Siena College
PA-01,5/14/2018,0.46,0.48,540,Likely,0.035,C,DCCC Targeting Team
ND-01,10/2/2018,0.34,0.51,704,Likely,0.016,A,Fox News/Anderson Robbins Research/Shaw & Co. Research
UT-02,8/31/2018,0.34,0.45,202,Likely,-0.002,C,Dan Jones & Associates
NC-02,9/8/2018,0.44,0.43,538,Likely,0.03,A,SurveyUSA
MN-02,8/21/2018,0.45,0.46,400,Likely,0.064,B,Wilson Perkins Allen Opinion Research
GA-07,8/13/2018,0.46,0.44,400,Likely,-0.057,B,Tulchin Research
NJ-11,9/27/2018,0.46,0.43,400,Likely,0.025,B,National Research Inc. 
NC-13,9/13/2018,0.46,0.42,537,Likely,-0.035,C,DCCC Targeting Team
NY-19,6/28/2018,0.49,0.42,545,Likely,-0.035,C,DCCC Targeting Team
NJ-03,9/5/2018,0.47,0.45,523,Likely,-0.035,C,DCCC Targeting Team
ME-02,7/30/2018,0.46,0.46,400,Likely,-0.042,B,Mellman Group
UT-02,8/27/2018,0.27,0.49,600,Registered,-0.006,D,Lighthouse Research
MI-06,8/25/2018,0.44,0.49,500,Likely,-0.022,C,Global Strategy Group
NY-22,11/10/2017,0.47,0.41,599,Voters,-0.021,B,Public Policy Polling
MN-03,9/29/2018,0.49,0.44,607,Likely,0.003,A,SurveyUSA
PA-07,9/25/2018,0.5,0.42,539,Likely,-0.001,A,Siena College
WV-01,9/15/2018,0.14,0.43,275,Registered,-0.009,B,Emerson College
ND-01,9/27/2018,0.31,0.55,650,Likely,0.025,D,Strategic Research Associates
NJ-11,7/22/2018,0.42,0.36,400,Likely,0.025,B,National Research Inc.
NJ-03,9/26/2018,0.49,0.39,499,Likely,-0.001,A,Siena College
UT-02,6/18/2018,0.24,0.48,147,Registered,-0.004,D,University of Utah
NM-02,9/13/2018,0.41,0.48,405,Likely,0.003,A,Research & Polling Inc.
PA-17,7/22/2018,0.54,0.39,355,Likely,0.014,A,Monmouth University
ND-01,9/11/2018,0.34,0.48,701,Likely,0.016,A,Fox News/Anderson Robbins Research/Shaw & Co. Research
MI-07,2/21/2018,0.37,0.41,400,Registered,-0.035,C,DCCC Targeting Team
NJ-11,6/25/2018,0.45,0.39,339,Likely,-0.014,A,Monmouth University
NY-24,8/23/2018,0.39,0.54,513,Likely,-0.001,A,Sienna College
OH-01,10/1/2018,0.41,0.5,503,Likely,-0.1,A,Siena College
NC-13,7/16/2018,0.35,0.4,537,Likely,0.003,A,SurveyUSA
PA-07,9/9/2018,0.48,0.45,299,Likely,-0.0014,A,Monmouth University
UT-03,8/31/2018,0.19,0.65,188,Adults,-0.002,C,Dan Jones & Associates
MN-03,9/17/2018,0.51,0.42,500,Voters,-0.021,B,Public Policy Polling
NJ-05,8/12/2018,0.36,0.39,400,Registered,0.042,B,Tel Opinion Research
WV-01,6/19/2018,0.24,0.72,72,Likely,-0.014,A,Monmouth University
NM-01,9/13/2018,0.49,0.41,410,Likely,0.003,A,Research & Polling Inc.
UT-03,8/27/2018,0.2,0.52,600,Registered,-0.006,D,Lighthouse Research
MN-03,9/9/2018,0.51,0.42,500,Likely,-0.001,A,Siena College
NY-24,7/27/2018,0.47,0.43,785,Voters,-0.021,B,Public Policy Polling
NM-02,6/16/2018,0.35,0.49,334,Likely,0.025,D,Carroll Strategies 
MI-08,10/3/2018,0.44,0.47,501,Likely,-0.001,A,Siena College
ND-01,8/28/2018,0.32,0.53,506,Likely,0.049,D,Axis Research
PA-07,5/3/2018,0.42,0.31,408,Registered,-0.0016,A,Muhlenburg College
NJ-07,6/25/2018,0.47,0.45,500,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
OH-01,9/20/2018,0.39,0.46,400,Likely,0.036,B,American Viewpoint
MN-03,2/13/2018,0.46,0.43,664,Voters,-0.021,B,Public Policy Polling
NC-13,4/17/2018,0.4,0.43,668,Voters,-0.021,B,Public Policy Polling
WV-02,9/15/2018,0.24,0.32,277,Registered,-0.009,B,Emerson College
NY-25,8/19/2018,0.55,0.31,500,Likely,-0.001,A,Siena College
ND-01,6/15/2018,0.35,0.46,625,Registered,-0.003,B,Mason-Dixon Polling & Research Inc.
NJ-07,9/17/2018,0.47,0.42,365,Likely,-0.014,A,Monmouth University
MN-03,11/10/2018,0.46,0.42,542,Voters,-0.021,B,Public Policy Polling
NM-01,6/16/2018,0.47,0.43,419,Likely,0.025,D,Carroll Strategies
MS-04,7/31/2018,0.37,0.54,525,Likely,0.041,C,Triumph Campaigns
UT-04,9/8/2018,0.42,0.51,405,Likely,0.038,B,Y2 Analytics
NM-02,6/11/2018,0.43,0.45,456,Registered,-0.035,C,DCCC Targeting Team
MI-08,9/20/2018,0.47,0.43,400,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
WV-02,6/19/2018,0.38,0.52,112,Likely,-0.014,A,Monmouth University
ND-01,5/14/2018,0.28,0.48,509,Likely,0.049,D,Axis Research
NJ-07,9/21/2018,0.44,0.45,504,Likely,-0.001,A,Siena College
MS-03,7/31/2018,0.27,0.56,525,Likely,0.041,C,Triumph Campaigns
OH-01,9/13/2018,0.46,0.44,500,Likely,-0.01,B,GBA Strategies
UT-04,9/6/2018,0.46,0.49,400,Likely,-0.002,C,Dan Jones & Associates
MI-08,9/18/2018,0.43,0.45,400,Likely,0.033,B,Public Opinion Strategies
WV-03,9/16/2018,0.48,0.44,540,Likely,-0.035,C,DCCC Targeting Team 
UT-04,8/27/2018,0.38,0.48,600,Registered,-0.006,D,Lighthouse Research
MN-08,9/30/2018,0.45,0.44,400,Likely,-0.027,B,Victoria Research & Consulting
MS-02,7/31/2018,0.51,0.22,525,Likely,0,C,Triumph Campaigns
MN-08,9/9/2018,0.44,0.43,504,Likely,-0.001,A,Siena College
WV-03,9/15/2018,0.36,0.31,274,Registered,-0.009,B,Emerson College
UT-04,8/23/2018,0.44,0.46,400,Likely,-0.042,B,Mellman Group
MS-01,7/31/2018,0.28,0.57,525,Likely,0.041,C,Triumph Campaigns
PA-10,9/25/2018,0.43,0.44,650,Voters,-0.0021,B,Public Policy Polling
OH-01,4/17/2018,0.42,0.43,662,Voters,-0.021,B,Public Policy Polling
UT-04,6/18/2018,0.39,0.45,379,Registered,-0.004,D,University of Utah
WV-03,9/10/2018,0.4,0.48,499,Likely,-0.001,A,Siena College
UT-04,6/5/2018,0.43,0.47,405,Likely,-0.002,C,Dan Jones & Associates
MI-08,8/23/2018,0.44,0.49,400,Likely,-0.017,B,Greenberg Quinlan Rosner (Democracy Corps)
WV-03,6/19/2018,0.48,0.4,343,Likely,-0.014,A,Monmouth University
PA-10,6/10/2018,0.41,0.45,654,Likely,-0.0021,B,Public Policy Polling
OH-01,1/16/2018,0.44,0.51,400,Likely,-0.01,B,GBA Strategies
UT-04,3/4/2018,0.4,0.43,400,Likely,-0.042,B,Mellman Group
UT-04,2/21/2018,0.43,0.49,404,Registered,-0.002,C,Dan Jones & Associates
MI-08,4/17/2018,0.41,0.46,668,Voters,-0.021,B,Public Policy Polling
PA-16,6/7/2018,0.44,0.5,400,Likely,-0.024,D,"Normington, Petts & Associates"
PA-11,9/13/2018,0.35,0.44,522,Voters,-0.0021,B,Public Policy Polling
UT-04,1/22/2018,0.42,0.47,400,Registered,-0.002,C,Dan Jones & Associates
PA-16,5/22/2018,0.43,0.48,623,Registered,-0.021,B,Public Policy Polling
DE-01,9/17/2018,0.58,0.28,728,Likely,-0.099,D,University of Delaware
MI-08,4/5/2018,0.39,0.45,400,Registered,0.013,C,Target Insyght
DE-01,7/29/2018,0.46,0.38,884,Likely,0.021,C,Gravis Marketing
